,department,name,cost,people,date,category
0,감사위원회,풍미정원,100000,10,2023-05-01, 한식 
1,감사위원회,행복무지개,148000,5,2023-05-02, 한식 
2,감사위원회,사키,72000,4,2023-05-11, 일식
3,감사위원회,풍미정원,91000,9,2023-05-17, 한식 
4,감사위원회,엠티추억그리고여행,284000,12,2023-05-23,미분류
5,감사위원회,석교리,102000,6,2023-05-31, 한식 
6,감염병관리과,보강집,34000,4,2023-05-11, 한식 
7,감염병관리과,짬뽕관,56000,5,2023-05-16, 중식 
8,감염병관리과,미미삼겹살,78000,5,2023-05-24, 한식 
9,감염병관리과,워낭2013,69000,3,2023-05-26, 한식 
10,감염병관리과,함흥면옥,94600,7,2023-05-31, 한식 
11,건설교통국,협동조합담음,90000,9,2023-05-01, 도시락
12,건설교통국,세종장어대가,123000,5,2023-05-03, 한식 
13,건설교통국,돈미당숯불구이,84000,4,2023-05-04,미분류
14,건설교통국,주식회사헬로우포레스트,81500,6,2023-05-08, 카페 
15,건설교통국,주식회사헬로우포레스트,58000,6,2023-05-11, 카페 
16,건설교통국,바다축제,97000,4,2023-05-11,미분류
18,건설교통국,파랑나루,106000,8,2023-05-15, 술집 
19,건설교통국,주식회사헬로우포레스트,59000,4,2023-05-16, 카페 
20,건설교통국,초원갈비,100000,6,2023-05-17, 한식 
21,건설교통국,청와삼대,183000,9,2023-05-23, 한식 
22,건설교통국,유쾌한상,122100,6,2023-05-24, 한식 
23,건설교통국,유성복집,78000,6,2023-05-25, 한식 
24,건설교통국,BHC,84000,6,2023-05-30, 치킨 
25,건설교통국,엄마쌈밥집,64500,5,2023-05-30, 한식 
26,건설교통국,주식회사헬로우포레스트,71500,6,2023-05-31, 카페 
27,건축과,사랑채,157000,7,2023-05-11, 한식
28,건축과,원조부산할매낙지&활화산,51000,4,2023-05-26, 한식 
29,건축과,예원,194000,10,2023-05-30, 중식 
30,경제산업국,윤연당,36000,4,2023-05-08, 간식 
31,경제산업국,풍미정원,144000,6,2023-05-08, 한식 
32,경제산업국,설레족발,140000,16,2023-05-11,미분류
33,경제산업국,호야2,119000,4,2023-05-26,미분류
34,경제정책과,다이닝더인드라,50000,3,2023-05-03, 아시아음식 
35,경제정책과,금강장어마을,46000,3,2023-05-08, 한식 
36,경제정책과,밥상차려주는집,162000,6,2023-05-11, 한식
37,경제정책과,쿠프,21000,6,2023-05-11, 카페 
38,경제정책과,금강장어마을,46000,3,2023-05-17, 한식 
39,경제정책과,궁궐,30000,2,2023-05-19, 한식
40,고운동,고운동커피가게,77500,6,2023-05-02, 카페 
41,고운동,청학동냉면,69500,6,2023-05-09, 한식 
42,고운동,조가네갑오징어,68000,6,2023-05-15, 한식 
44,고운동,착한감자탕,202500,10,2023-05-31, 한식 
45,공공건설사업소,원조한도령本家추어탕,65000,4,2023-05-10,미분류
46,공공건설사업소,착한횟집,181000,10,2023-05-24, 한식 
47,공공건설사업소,시장감자탕,42000,5,2023-05-31, 한식 
48,공보관,찌개명문가후룹,36000,4,2023-05-01,미분류
49,공보관,내토왕코다리,122000,7,2023-05-02, 한식 
50,공보관,오롯이,78000,3,2023-05-02, 일식
51,공보관,명장복집,110000,5,2023-05-03, 한식 
52,공보관,함흥면옥,98000,7,2023-05-03, 한식 
53,공보관,윤복희,50000,5,2023-05-04, 한식
54,공보관,명품한우타운,200000,7,2023-05-04, 한식 
55,공보관,조개언니회오빠,150000,8,2023-05-08, 한식 
56,공보관,층남순대,37000,3,2023-05-10,미분류
57,공보관,삼미가옥,71000,5,2023-05-11,미분류
58,공보관,콩밭가인,54000,5,2023-05-15, 한식
59,공보관,콩밭가인,50000,5,2023-05-17, 한식
60,공보관,탄영,200000,6,2023-05-18, 한식 
61,공보관,차득순손칼국수,99000,7,2023-05-18, 한식 
62,공보관,콩밭가인,141000,12,2023-05-22, 한식
63,공보관,르비프(LeBeef),150000,5,2023-05-23,미분류
64,공보관,그릴200℃,139000,5,2023-05-23,미분류
65,공보관,육류백화점식당,158000,6,2023-05-25, 한식 
66,공보관,짬뽕관,60000,5,2023-05-26, 중식 
67,공보관,내토왕코다리,36000,2,2023-05-26, 한식 
68,공보관,또바기검은콩수제비.칼국수,23000,3,2023-05-31, 한식 
69,공보관,덕포상회,155000,6,2023-05-31, 한식 
70,공원관리사업소,려원민물장어,197000,8,2023-05-01, 한식
71,공원관리사업소,다담스시다이닝,53000,4,2023-05-03, 일식 
72,공원관리사업소,명성횟집,54000,6,2023-05-09, 한식 
73,공원관리사업소,카페리,19400,4,2023-05-10, 카페
74,공원관리사업소,동네맥주,125500,6,2023-05-11, 술집 
75,공원관리사업소,전주명가,29000,3,2023-05-15, 한식 
77,공원관리사업소,세종국수,25000,4,2023-05-18, 한식 
78,공원관리사업소,나성횟집,75000,4,2023-05-22, 한식 
79,공원관리사업소,카페리,21000,5,2023-05-22, 카페
80,공원관리사업소,라스트춘선,88000,6,2023-05-23, 술집 
81,공원관리사업소,어진명가,106500,6,2023-05-24, 한식
82,공원관리사업소,믹스토랑,79200,6,2023-05-25, 양식
83,공원관리사업소,차이킹,104000,7,2023-05-30, 중식 
84,공원관리사업소,군산조개천국,167000,6,2023-05-31, 한식 
85,관광진흥과,궁궐,120000,8,2023-05-10, 한식
86,관광진흥과,밀마루보리밥,48000,4,2023-05-25, 한식
87,교육지원과,순남시래기,88000,8,2023-05-03, 한식
88,교육지원과,명성횟집생대구탕,45000,3,2023-05-15, 한식 
89,교통과,세종메밀꽃필무렵,105000,7,2023-05-10, 한식 
90,교통과,우리네코다리,89700,7,2023-05-11, 한식 
91,교통과,엉클생고기,202500,15,2023-05-11, 한식 
92,교통과,동방생고기정육점식당,48000,8,2023-05-24, 한식 
93,국회건립지원사무소,물고기주택(서울),188000,8,2023-05-09,미분류
94,국회건립지원사무소,타코벨여의도메리츠점(서울),157500,25,2023-05-10,미분류
95,국회건립지원사무소,㈜행복큐산업(인터넷),196700,100,2023-05-17,미분류
96,국회건립지원사무소,다원,198000,7,2023-05-18, 주거시설 
97,국회건립지원사무소,장수집(서울),132000,6,2023-05-18,미분류
98,국회건립지원사무소,민식당(서울),90000,4,2023-05-23,미분류
99,국회건립지원사무소,신의주순대,196700,7,2023-05-26,미분류
100,국회건립지원사무소,참복집(서울),165000,6,2023-05-30,미분류
101,국회건립지원사무소,쿠팡(인터넷),98770,100,2023-05-31,미분류
102,규제개혁법무담당관,르비프(LeBeef),132000,5,2023-05-02,미분류
103,규제개혁법무담당관,비프다이닝온도,108000,3,2023-05-10, 한식 
104,규제개혁법무담당관,청담이상도담점,137000,5,2023-05-18, 술집 
