,department,name,cost,people,date,category
0,감사위원회,본가왕뼈감자탕법원점,91000,7,2023-01-13, 한식 
1,감사위원회,추어명가,108000,6,2023-01-20, 한식 
2,감사위원회,마부시스토리,144500,5,2023-01-25,미분류
3,감사위원회,동네반상회정육식당,201000,8,2023-01-30, 한식 
4,감염병관리과,울엄마바지락칼국수,74800,6,2023-01-17, 한식 
5,감염병관리과,88양꼬치,79000,5,2023-01-18, 중식 
6,감염병관리과,두툼,55000,6,2023-01-20, 한식 
7,감염병관리과,함흥면옥,42000,3,2023-01-20, 한식 
8,감염병관리과,신미정춘천닭갈비,72900,5,2023-01-26, 한식 
9,감염병관리과,오롯이,209000,7,2023-01-30, 일식
10,건설교통국,유성복집,150900,8,2023-01-03, 한식 
11,건설교통국,추어명가,88000,8,2023-01-04, 한식 
12,건설교통국,유성복집,78000,5,2023-01-06, 한식 
13,건설교통국,바다축제,102000,4,2023-01-06,미분류
14,건설교통국,맛나고감자탕,72000,6,2023-01-09, 한식 
16,건설교통국,사회적협동조합공유,180000,6,2023-01-13," 인쇄,복사"
17,건설교통국,두두본,17100,4,2023-01-20, 카페 
19,건설교통국,오보만족,108000,6,2023-01-26, 한식 
20,건설교통국,영심이소머리국밥,40000,4,2023-01-26, 한식 
21,건설교통국,아웃오브컴포트,20500,5,2023-01-27, 카페
22,건설교통국,육사방,221000,8,2023-01-27, 한식 
23,건설교통국,유쾌한상,182000,8,2023-01-31, 한식 
24,건축과,사랑채,118000,6,2023-01-13, 한식
25,건축과,북어찜전문점,61000,4,2023-01-18, 한식 
26,건축과,묵은정,24000,3,2023-01-27, 한식
27,경제산업국,팔구옥,94200,7,2023-01-04, 한식 
28,경제산업국,키햐아소담점,115500,8,2023-01-09, 일식
29,경제산업국,궁궐,75000,4,2023-01-10, 한식
30,경제산업국,워낭,261000,15,2023-01-12, 한식 
31,경제산업국,그릴200도,368500,13,2023-01-12, 한식 
32,경제산업국,팔구옥,106100,7,2023-01-17, 한식 
33,경제산업국,써밋뷰,153000,6,2023-01-18, 카페
34,경제정책과,산수정능이버섯백숙,160000,9,2023-01-04, 한식
35,경제정책과,궁궐,68000,4,2023-01-09, 한식
36,고운동,투썸플레이스고운힐데스점,23700,6,2023-01-10, 카페 
37,고운동,탄방골참순대,450000,35,2023-01-12, 한식 
38,고운동,쌈지뜰,200000,12,2023-01-17, 한식 
39,고운동,하나마트,468000,36,2023-01-20, 슈퍼마켓
40,고운동,팔선생,171000,9,2023-01-26, 중식
41,공공건설사업소,초가집갈비김치찌개,88000,5,2023-01-06, 한식 
42,공공건설사업소,드롭탑,27000,5,2023-01-06, 카페 
43,공공건설사업소,병천순대&수육국밥,72000,5,2023-01-12, 한식 
44,공공건설사업소,내토왕코다리,104000,6,2023-01-13, 한식 
45,공공건설사업소,카페코지,34400,5,2023-01-13, 카페 
46,공공건설사업소,내토왕코다리,52000,4,2023-01-16, 한식 
47,공공건설사업소,과일장터,494000,19,2023-01-16,미분류
48,공공건설사업소,갈매기섬식당,36000,4,2023-01-18, 한식
49,공공건설사업소,두툼,98000,5,2023-01-19, 한식 
50,공공건설사업소,초가집갈비김치찌개,44000,3,2023-01-25, 한식 
51,공공건설사업소,르비엣,142500,6,2023-01-27, 아시아음식 
52,공보관,24시전주명가콩나물국밥,59000,6,2023-01-01, 한식 
53,공보관,꿈앤카페(사)세종특별자치시장애인단체연합회,103500,10,2023-01-03,미분류
54,공보관,차득순손칼국수,85000,9,2023-01-04, 한식 
55,공보관,윤가네들깨수제비보쌈,16000,2,2023-01-05, 한식 
56,공보관,꽃이피는떡,161000,30,2023-01-09, 간식 
57,공보관,88양꼬치,77000,5,2023-01-09, 중식 
58,공보관,세종시후생복지회,200000,50,2023-01-10,미분류
59,공보관,진웨이성&진향,74000,8,2023-01-10, 중식 
60,공보관,김광희손두부,136000,10,2023-01-10,미분류
61,공보관,김광희손두부,32000,6,2023-01-12,미분류
62,공보관,엔제리너스,89800,6,2023-01-12, 카페 
63,공보관,울엄마바지락칼국수,48000,6,2023-01-13, 한식 
64,공보관,따규,25000,2,2023-01-13, 중식 
65,공보관,마구로정,180000,8,2023-01-13, 일식 
66,공보관,중화반점,57000,6,2023-01-17, 중식 
67,공보관,짬뽕관,46500,5,2023-01-17, 중식 
68,공보관,우체국쇼핑,498000,20,2023-01-17,미분류
69,공보관,초정약수식당,228000,16,2023-01-18, 한식 
70,공보관,배부장찌개,28500,3,2023-01-18, 한식 
71,공보관,오롯이,78000,5,2023-01-19, 일식
72,공보관,엉클생고기,99000,8,2023-01-20, 한식 
73,공보관,황산벌돌삼겹,161000,8,2023-01-26, 한식 
74,공보관,육류백화점식당,102500,6,2023-01-27, 한식 
75,공보관,세종꽃프라자,100000,2,2023-01-30," 꽃집,꽃배달"
76,공원관리과,던킨세종,57500,8,2023-01-03, 간식 
77,공원관리과,세종중앙농업협동조합나성지점,31600,15,2023-01-03,미분류
78,공원관리과,병천순대&수육국밥,41000,4,2023-01-05, 한식 
79,공원관리과,오륙도식당,30000,4,2023-01-09, 한식 
80,공원관리과,송탄주원부대찌개,199000,8,2023-01-17, 한식 
81,공원관리과,송학식당,151000,10,2023-01-18, 한식 
82,공원관리과,이대가장수촌,89000,5,2023-01-20, 한식 
83,공원관리과,워낭2013,46000,3,2023-01-25, 한식 
84,공원관리과,피자파는집새롬,109500,15,2023-01-25,미분류
86,공원관리과,탄영,163000,8,2023-01-26, 한식 
87,공원관리과,공주순대,44000,4,2023-01-30, 한식 
88,공원관리과,아호정,49000,4,2023-01-31, 중식
89,공원관리사업소,도담얼큰이칼국수,38500,5,2023-04-03, 한식 
90,공원관리사업소,밥상차려주는집,108000,4,2023-04-04, 한식
91,공원관리사업소,꺼먹지황태진국,60000,4,2023-04-06,미분류
92,공원관리사업소,동동칼국수,62000,6,2023-04-13, 한식 
93,공원관리사업소,박월순곱창전문점,94000,6,2023-04-18, 한식 
94,공원관리사업소,대구반야월막창세종,84000,5,2023-04-21, 한식 
95,공원관리사업소,릴라밥집,40000,4,2023-04-24, 일식 
96,공원관리사업소,이밥,40000,4,2023-04-25, 한식
97,관광진흥과,사랑채,199000,8,2023-01-11, 한식
98,관광진흥과,두툼,70000,3,2023-01-12, 한식 
99,관광진흥과,황가원,72000,4,2023-01-16, 한식
100,교육지원과,던킨도너츠,54700,5,2023-01-18, 간식 
101,교통과,맛나고감자탕,97000,5,2023-01-05, 한식 
102,교통과,에이트,95000,5,2023-01-06, 양식 
103,교통과,만두네가,57200,5,2023-01-09, 중식
104,교통과,사키,168000,6,2023-01-11, 일식
105,교통과,리엔차이,180000,10,2023-01-11,미분류
106,교통과,오렌지블루스,101800,6,2023-01-17,미분류
107,국회세종의사당건립지원협력사무소,테이스티박스(서울),70000,8,2023-01-05,미분류
108,국회세종의사당건립지원협력사무소,광화문한옥집(서울),120000,4,2023-01-11,미분류
109,국회세종의사당건립지원협력사무소,속초해물탕(서울),164000,6,2023-01-11,미분류
110,국회세종의사당건립지원협력사무소,㈜이마트여의도점(서울),119840,4,2023-01-18,미분류
111,국회세종의사당건립지원협력사무소,팔당반점서여의도점(서울),238000,8,2023-01-18,미분류
112,국회세종의사당건립지원협력사무소,㈜이마트여의도점(서울),176860,10,2023-01-18,미분류
113,국회세종의사당건립지원협력사무소,쿠팡㈜(인터넷),95950,100,2023-01-25,미분류
114,국회세종의사당건립지원협력사무소,고봉삼계탕(서울),36000,3,2023-01-26,미분류
115,국회세종의사당건립지원협력사무소,속초해물탕(서울),119000,4,2023-01-26,미분류
116,규제개혁법무담당관,이범석류스시야,90000,3,2023-01-16, 일식 
117,규제개혁법무담당관,오롯이,312000,12,2023-01-27, 일식
118,규제개혁법무담당관,분당만강원,120000,4,2023-01-31, 중식
119,금남면,광동중부대리점,215000,25,2023-01-10,미분류
120,금남면,세종풍천장어바다시장,191000,16,2023-01-13,미분류
121,금남면,세종풍천장어바다시장,218000,8,2023-01-13,미분류
122,금남면,북어찜전문점,137000,5,2023-01-16, 한식 
123,금남면,큰나무,95000,7,2023-01-18, 한식
124,금남면,신나라마트,325800,25,2023-01-20, 슈퍼마켓
125,금남면,북어찜전문점,280000,19,2023-01-26, 한식 
126,금남면,북어찜전문점,49000,4,2023-01-27, 한식 
127,기업지원과,글린정원,274700,10,2023-01-09, 양식 
128,기업지원과,초가집갈비김치찌개,56000,4,2023-01-16, 한식 
129,기업지원과,워낭,180000,6,2023-01-27, 한식 
130,기획조정실,청와삼대(족발보쌈칼국수),126000,6,2023-01-13,미분류
131,기획조정실,낚시꾼의갈치,39000,3,2023-01-16,미분류
132,기획조정실,아호정,158800,6,2023-01-17, 중식
133,기획조정실,밀마루,44000,4,2023-01-18," 관광,명소 "
134,기획조정실,뜨라또리아수(Trattoriasoo),81000,4,2023-01-19,미분류
135,기획조정실,우나기칸,75000,3,2023-01-20, 일식 
136,기획조정실,오롯이,63000,4,2023-01-25, 일식
137,나성동,홈마트,28840,30,2023-04-05, 슈퍼마켓
139,농업기술센터,사계절청과,100000,6,2023-01-03, 농업 
140,농업기술센터,세종뽕나무집,170000,6,2023-01-09, 한식 
141,농업기술센터,헤브론,150000,5,2023-01-10, 양식 
142,농업기술센터,백련화메기탕,116000,5,2023-01-11, 한식 
143,농업기술센터,헤브론,108000,5,2023-01-12, 양식 
144,농업기술센터,감성가득체험장,200000,4,2023-01-17,미분류
145,농업기술센터,하모니마트,67400,30,2023-01-17, 슈퍼마켓
146,농업기술센터,배방관광농원농업회사법인,120000,5,2023-01-31,미분류
147,농업정책과,순한양꼬치,156000,6,2023-01-03, 중식 
