,department,name,cost,people,date,category
592,전략기획과,이디야고려대점,20500,4,2023-04-28, 카페 
593,전의면,금자매어탕국수,80000,10,2023-04-04, 한식
594,전의면,보리경,60000,5,2023-04-11,미분류
595,전의면,남도추어탕,59000,5,2023-04-20, 한식 
596,정보통계담당관,자연이스테이,100000,8,2023-04-14, 양식
597,정보통계담당관,육산,162000,9,2023-04-20, 한식 
598,정책기획관,처음본명품민물장어,449000,18,2023-04-04, 한식 
599,정책기획관,오롯이,460000,16,2023-04-05, 일식
600,정책기획관,상하농원,150000,5,2023-04-05,미분류
601,정책기획관,처음본명품민물장어,200000,8,2023-04-10, 한식 
602,정책기획관,일번가복집,78000,4,2023-04-12, 한식 
603,정책기획관,스윗마틸다,300000,18,2023-04-12, 카페 
604,정책기획관,화로양갈비,127000,5,2023-04-19, 한식 
605,정책기획관,주식회사육산,60000,4,2023-04-20,미분류
606,정책기획관,신칼국수,98000,6,2023-04-25, 한식 
607,정책기획관,보강집,254500,9,2023-04-25,미분류
608,조치원소방서,고복정,295000,13,2023-04-07, 한식 
609,조치원소방서,버거킹,100000,7,2023-04-04, 패스트푸드 
610,조치원소방서,소방행정과,50000,1,2023-04-11,미분류
611,조치원소방서,시골양푼이동태탕,100000,7,2023-04-12,미분류
612,조치원소방서,백채김치찌개,100000,7,2023-04-13, 한식 
613,조치원소방서,황가네참옻닭,100000,7,2023-04-14, 한식 
614,조치원소방서,복사골,97500,7,2023-04-17, 한식 
615,조치원소방서,소방행정과,50000,1,2023-04-17,미분류
616,조치원소방서,려원풍천민물장어,100000,7,2023-04-21,미분류
617,조치원소방서,하나로마트,100000,7,2023-04-24, 슈퍼마켓 
618,조치원소방서,홈플러스,200000,6,2023-04-26, 대형마트 
619,조치원소방서,부뚜막,50000,13,2023-04-28, 한식
620,조치원읍,신흥파닭,504100,63,2023-04-12, 치킨
621,조치원읍,조치원읍청사,50000,1,2023-04-17, 자동차 
622,조치원읍,부뚜막,78000,5,2023-04-13, 한식
623,조치원읍,석기정,180000,18,2023-04-19, 한식 
624,조치원읍,소래버섯나라,60000,5,2023-04-20, 한식
625,조치원읍,석곡오리촌,316000,15,2023-04-28, 한식 
626,종촌동,성실밥집,48000,4,2023-04-12, 한식
627,종촌동,행복무지개,179000,5,2023-04-25, 한식 
628,주택과,세종장어대가,55000,5,2023-04-04, 한식 
629,주택과,고무래식당,36000,3,2023-04-12, 한식
630,주택과,큰나무,42000,6,2023-04-20, 한식
631,지능형도시과,함흥면옥,66000,4,2023-04-13, 한식 
632,지능형도시과,해피만족,180000,5,2023-04-19, 한식 
633,지능형도시과,낙지촌,112900,5,2023-04-26, 한식 
634,지역균형발전과,커피체리,34500,9,2023-04-03, 카페
635,지역균형발전과,행복무지개,117000,9,2023-04-17, 한식 
636,지역균형발전과,함흥면옥,83000,8,2023-04-18, 한식 
637,지역균형발전과,김광희손두부,64000,6,2023-04-26,미분류
638,지역균형발전과,복도리협동조합,26000,8,2023-04-27,미분류
639,지역균형발전과,김광희손두부,134000,10,2023-04-27,미분류
640,차량등록사업소,내집처럼,98000,7,2023-04-07, 한식
641,차량등록사업소,봉서골,64000,5,2023-04-12, 한식 
642,차량등록사업소,이화수,95000,8,2023-04-13, 한식 
643,차량등록사업소,굴이야기,70000,4,2023-04-18, 한식 
644,차량등록사업소,한마음정육식당,135500,5,2023-04-19, 한식 
645,청년정책담당관,써밋뷰,97000,5,2023-04-04, 카페
646,청년정책담당관,황가원,54000,3,2023-04-07, 한식
647,청년정책담당관,갈매기섬식당,82000,10,2023-04-08, 한식
648,청년정책담당관,오롯이,63000,3,2023-04-11, 일식
649,청년정책담당관,웰미가,25000,3,2023-04-14, 한식 
650,청년정책담당관,밀마루,44000,4,2023-04-17," 관광,명소 "
651,청년정책담당관,황가원,54000,3,2023-04-18, 한식
652,청년정책담당관,그릴200도,109000,6,2023-04-18, 한식 
653,청년정책담당관,저림숙성그릴,240000,8,2023-04-19, 한식 
654,청년정책담당관,제주도야지판,49000,2,2023-04-25, 한식 
656,충청권특별지방자치단체합동추진단사무국,송도갈비,97000,5,2023-04-03, 한식 
657,충청권특별지방자치단체합동추진단사무국,비프다이닝온도,74000,4,2023-04-05, 한식 
658,충청권특별지방자치단체합동추진단사무국,우나기칸,79000,4,2023-04-06, 일식 
659,충청권특별지방자치단체합동추진단사무국,밥상차려주는집,76000,4,2023-04-07, 한식
660,충청권특별지방자치단체합동추진단사무국,제주생선구이전문점올래밥상,48000,4,2023-04-12,미분류
661,충청권특별지방자치단체합동추진단사무국,멍게가,371000,16,2023-04-13, 한식 
662,충청권특별지방자치단체합동추진단사무국,어진명가,60000,6,2023-04-14, 한식
663,충청권특별지방자치단체합동추진단사무국,밥상차려주는집,76000,4,2023-04-17, 한식
664,충청권특별지방자치단체합동추진단사무국,한돈사회생활,190000,10,2023-04-17, 한식 
665,충청권특별지방자치단체합동추진단사무국,이윽고,114000,6,2023-04-18, 한식 
666,충청권특별지방자치단체합동추진단사무국,택이네조개전골,113000,6,2023-04-18, 한식 
667,충청권특별지방자치단체합동추진단사무국,송도갈비,481600,20,2023-04-20, 한식 
668,충청권특별지방자치단체합동추진단사무국,상상낙지,71000,4,2023-04-24, 한식 
669,충청권특별지방자치단체합동추진단사무국,화로양갈비,152000,10,2023-04-24, 한식 
670,충청권특별지방자치단체합동추진단사무국,강촌,64000,4,2023-04-25, 한식 
671,충청권특별지방자치단체합동추진단사무국,이대가장수촌,134000,6,2023-04-26, 한식 
672,충청권특별지방자치단체합동추진단사무국,충무복집,226000,10,2023-04-26,미분류
673,충청권특별지방자치단체합동추진단사무국,멍게가,91000,7,2023-04-27, 한식 
674,충청권특별지방자치단체합동추진단사무국,잇또라멘,36200,4,2023-04-05, 일식 
